timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674963023175,1041,User List,200,OK,Thread Group 1-129,text,true,,1545,134,4,4,https://random-data-api.com/api/v2/users,1041,0,690
1674963023476,1006,User List,200,OK,Thread Group 1-130,text,true,,1560,134,4,4,https://random-data-api.com/api/v2/users,1006,0,663
1674963023776,979,User List,200,OK,Thread Group 1-131,text,true,,1550,134,4,4,https://random-data-api.com/api/v2/users,979,0,620
1674963024074,1039,User List,200,OK,Thread Group 1-132,text,true,,1555,134,4,4,https://random-data-api.com/api/v2/users,1039,0,682
1674963024375,1103,User List,200,OK,Thread Group 1-133,text,true,,1561,134,4,4,https://random-data-api.com/api/v2/users,1103,0,740
1674963024674,978,User List,200,OK,Thread Group 1-134,text,true,,1569,134,4,4,https://random-data-api.com/api/v2/users,978,0,636
1674963024973,960,User List,200,OK,Thread Group 1-135,text,true,,1572,134,4,4,https://random-data-api.com/api/v2/users,960,0,643
1674963025273,1016,User List,200,OK,Thread Group 1-136,text,true,,1593,134,4,4,https://random-data-api.com/api/v2/users,1016,0,655
1674963025573,1075,User List,200,OK,Thread Group 1-137,text,true,,1590,134,4,4,https://random-data-api.com/api/v2/users,1075,0,640
1674963025871,1009,User List,200,OK,Thread Group 1-138,text,true,,1598,134,4,4,https://random-data-api.com/api/v2/users,1009,0,690
1674963026172,1129,User List,200,OK,Thread Group 1-139,text,true,,1600,134,4,4,https://random-data-api.com/api/v2/users,1129,0,689
1674963026471,1075,User List,200,OK,Thread Group 1-140,text,true,,1582,134,4,4,https://random-data-api.com/api/v2/users,1075,0,713
1674963026770,1009,User List,200,OK,Thread Group 1-141,text,true,,1544,134,4,4,https://random-data-api.com/api/v2/users,1009,0,684
1674963027069,1013,User List,200,OK,Thread Group 1-142,text,true,,1568,134,4,4,https://random-data-api.com/api/v2/users,1013,0,668
1674963027390,1008,User List,200,OK,Thread Group 1-143,text,true,,1562,134,4,4,https://random-data-api.com/api/v2/users,1008,0,656
1674963027974,1283,User List,200,OK,Thread Group 1-145,text,true,,1552,134,6,6,https://random-data-api.com/api/v2/users,1283,0,655
1674963028273,986,User List,200,OK,Thread Group 1-146,text,true,,1580,134,6,6,https://random-data-api.com/api/v2/users,986,0,653
1674963028564,1085,User List,200,OK,Thread Group 1-147,text,true,,1551,134,5,5,https://random-data-api.com/api/v2/users,1085,0,701
1674963028862,1151,User List,200,OK,Thread Group 1-148,text,true,,1575,134,5,5,https://random-data-api.com/api/v2/users,1151,0,663
1674963029159,1086,User List,200,OK,Thread Group 1-149,text,true,,1580,134,5,5,https://random-data-api.com/api/v2/users,1086,0,733
1674963027674,2767,User List,200,OK,Thread Group 1-144,text,true,,1534,134,5,5,https://random-data-api.com/api/v2/users,2767,0,774
1674963029488,1114,User List,200,OK,Thread Group 1-150,text,true,,1558,134,4,4,https://random-data-api.com/api/v2/users,1114,0,708
1674963029786,1010,User List,200,OK,Thread Group 1-151,text,true,,1582,134,4,4,https://random-data-api.com/api/v2/users,1010,0,660
1674963030090,1052,User List,200,OK,Thread Group 1-152,text,true,,1582,134,4,4,https://random-data-api.com/api/v2/users,1052,0,702
1674963030390,1028,User List,200,OK,Thread Group 1-153,text,true,,1563,134,4,4,https://random-data-api.com/api/v2/users,1028,0,688
1674963030689,998,User List,200,OK,Thread Group 1-154,text,true,,1559,134,4,4,https://random-data-api.com/api/v2/users,998,0,647
